qc_id,gid,acueducto,serial,marcamedid,clasemedid,tipomedido,diametro_p,fecha_ins,usuario,cod_predio,cota,observacio,icon_url
"290","235",San Antonio,"370",Otro,Micromedidor,Volumétrico,0.5,,"10000017",,1035,,./0.png
"291","236",San Antonio,"160826",Otro,Micromedidor,Volumétrico,0.5,,"10000022",,1031,,./0.png
"292","237",San Antonio,"31973",Otro,Micromedidor,Volumétrico,0.5,,"10000021",,1032,,./0.png
"293","238",San Antonio,"16029085",Otro,Micromedidor,Volumétrico,0.5,,"10000020",,1032,,./0.png
"294","239",San Antonio,"436",Otro,Micromedidor,Volumétrico,0.5,,"10000050",,1032,,./0.png
"295","240",San Antonio,"5078",Otro,Micromedidor,Volumétrico,0.5,,"10001270",,1034,,./0.png
"296","241",San Antonio,"31599",Otro,Micromedidor,Volumétrico,0.5,,"10000055",,1034,,./0.png
"297","242",San Antonio,"01840366",Otro,Micromedidor,Volumétrico,0.5,,"10000051",,1034,,./0.png
"298","243",San Antonio,"5017",Otro,Micromedidor,Volumétrico,0.5,,"10000035",,1034,,./0.png
"299","244",San Antonio,"16029653",Otro,Micromedidor,Volumétrico,0.5,,"10000030",,1032,,./0.png
"300","245",San Antonio,"437",Otro,Micromedidor,Volumétrico,0.5,,"10000060",,1034,,./0.png
"301","246",San Antonio,"40387",Otro,Micromedidor,Volumétrico,0.5,,"10000065",,1032,,./0.png
"302","247",San Antonio,"0184359",Otro,Micromedidor,Volumétrico,0.5,,"10000070",,1034,,./0.png
"303","248",San Antonio,"171383",Otro,Micromedidor,Volumétrico,0.5,,"10000090",,1047,,./0.png
"304","249",San Antonio,"40415",Otro,Micromedidor,Volumétrico,0.5,,"10000080",,1046,,./0.png
"305","250",San Antonio,"31594",Otro,Micromedidor,Volumétrico,0.5,,"10000082",,1047,,./0.png
"306","255",San Antonio,"265371",Otro,Micromedidor,Volumétrico,0.5,,"10001340",,1040,,./0.png
"307","258",San Antonio,"16000786",Water meter,Micromedidor,Volumétrico,0.5,,"10001390",,1039,,./0.png
