qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"85","248",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1075,PVC,,Derivación,3,3,0.5,820854.5,1053093.04,./0.png
"86","264",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1077,PVC,,Derivación,3,3,0.5,820281.93,1053147.44,./0.png
"87","266",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1075,PVC,,Derivación,2,2,0.5,820818.05,1053084.45,./0.png
"88","267",Collarín,San Antonio,Collarin,Existente,No,Ninguna,Bueno,,,1067,PVC,,Derivación,3,3,0.5,820978.08,1053022.04,./0.png
"89","268",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1067,PVC,,Derivación,,,,820979.19,1053021.36,./0.png
"90","271",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,4,4,0.5,821607.81,1054138.5,./0.png
"91","275",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,4,4,0.5,821887.51,1053895.03,./0.png
"92","276",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,4,4,0.5,821887.14,1053851.72,./0.png
"93","277",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,2,2,0.5,821266.57,1054500.62,./0.png
"94","278",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,2,2,0.5,821341.7,1054749.03,./0.png
"95","281",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1032,PVC,,Derivación,2,2,0.5,821393.14,1054759.31,./0.png
"96","282",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1031,PVC,,Derivación,2,2,0.5,821401.48,1054745.84,./0.png
"97","283",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1026,PVC,,Derivación,2,2,0.75,821518.42,1055248.8,./0.png
"98","284",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1060,PVC,,Derivación,4,4,0.75,821336.05,1055963.39,./0.png
"99","352",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.75,822680.98,1053860.32,./0.png
"100","353",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822628.39,1053845.95,./0.png
"101","354",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822618.93,1053862.73,./0.png
