qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"88","233",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1050,PVC,,Derivación,1.5,1.5,0.5,821355.15,1052761.2,./0.png
"89","234",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1052,PVC,,Derivación,1.5,1.5,0.5,821355.15,1052761.2,./0.png
"90","235",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1063,PVC,,Derivación,1.5,1.5,0.5,821355.15,1052761.2,./0.png
"91","236",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1049,PVC,,Derivación,1.5,1.5,0.5,821355.15,1052761.2,./0.png
"92","237",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1052,PVC,,Derivación,1.5,1.5,0.5,821355.15,1052761.2,./0.png
"93","238",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1088,PVC,,Derivación,0.75,0.75,0.5,820887.7,1052553.71,./0.png
"94","239",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1083,PVC,,Derivación,0.75,0.75,0.5,820887.7,1052553.71,./0.png
"95","240",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1107,PVC,,Derivación,0.75,0.75,0.5,820887.7,1052553.71,./0.png
"96","249",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1051,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"97","250",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"98","251",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"99","252",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"100","254",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"101","255",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"102","256",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1048,PVC,,Derivación,0.75,0.75,0.5,820990.21,1053244.67,./0.png
"103","257",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1051,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"104","259",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1050,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"105","260",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,1,1,0.5,820990.21,1053244.67,./0.png
"106","261",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1050,PVC,,Derivación,0.75,0.75,0.5,820990.21,1053244.67,./0.png
"107","262",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,2,2,0.5,820990.21,1053244.67,./0.png
"108","263",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1082,PVC,,Derivación,1.5,1.5,0.5,820281.93,1053147.44,./0.png
"109","265",TEE,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1078,PVC,,Derivación,0.5,0.5,0.5,820281.93,1053147.44,./0.png
"110","269",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1067,PVC,,Derivación,0.5,0.5,0.5,820971.01,1053021.65,./0.png
"111","270",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1049,PVC,,Derivación,,,,821575.32,1053727.01,./0.png
"112","272",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.5,0.5,0.5,821591.61,1054094.22,./0.png
"113","273",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.5,0.5,0.5,821641.11,1053774.37,./0.png
"114","274",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,1,1,0.5,821690.62,1053853.1,./0.png
"115","279",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,,,,821342.29,1054748.03,./0.png
"116","280",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,,,,821341.71,1054747.97,./0.png
"117","285",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,822340.61,1054934.13,./0.png
"118","286",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821889.76,1053971.2,./0.png
"119","287",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821951.39,1053941.21,./0.png
"120","288",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821956.9,1053936.3,./0.png
"121","289",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821962.74,1053929.34,./0.png
"122","290",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821970.59,1053920.58,./0.png
"123","291",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,821974.41,1053914.07,./0.png
"124","292",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,821978.9,1053905.09,./0.png
"125","293",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,821981.15,1053895.44,./0.png
"126","294",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821981.82,1053884.66,./0.png
"127","295",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821981.59,1053877.71,./0.png
"128","296",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821962.51,1053875.68,./0.png
"129","297",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821962.96,1053882.87,./0.png
"130","298",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821963.41,1053888.7,./0.png
"131","299",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821962.29,1053896.56,./0.png
"132","300",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,821950.17,1053904.64,./0.png
"133","301",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,821956.23,1053913.17,./0.png
"134","302",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,822552.97,1053980.82,./0.png
"135","303",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822403.55,1054363.13,./0.png
"136","304",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.75,0.75,0.5,822388.25,1054442.99,./0.png
"137","305",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.75,0.75,0.5,822391.82,1054444.07,./0.png
"138","306",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822366.86,1054524.39,./0.png
"139","307",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822318.1,1054588.85,./0.png
"140","308",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822300.02,1054582.2,./0.png
"141","309",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,822294.46,1054580.11,./0.png
"142","310",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822288.8,1054662.19,./0.png
"143","311",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,0.75,0.75,0.5,822274.84,1054742.23,./0.png
"144","312",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,822334.07,1054865.65,./0.png
"145","313",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822326.2,1054736.5,./0.png
"146","314",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822328.1,1054731.27,./0.png
"147","315",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822361.15,1054742.07,./0.png
"148","316",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822394.6,1054751.05,./0.png
"149","317",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.75,0.5,822391.47,1054757.98,./0.png
"150","318",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,822367.29,1054634.27,./0.png
"151","319",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.5,822351.68,1054635.3,./0.png
"152","320",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,0.75,0.75,0.5,822398.5,1054644.85,./0.png
"153","321",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,0.75,0.75,0.5,822394.5,1054650.14,./0.png
"154","322",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.75,0.75,0.5,822427,1054654.39,./0.png
"155","323",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.75,0.75,0.5,822425.19,1054659.03,./0.png
"156","324",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1046,PVC,,Derivación,0.75,0.75,0.5,822504.64,1054539.1,./0.png
"157","325",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.75,0.5,822448.28,1054387.51,./0.png
"158","326",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.5,0.5,822336.6,1054857.79,./0.png
"159","327",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,0.5,0.5,0.5,822510.23,1054552.78,./0.png
"160","328",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.5,0.5,822499.56,1054404.78,./0.png
"161","329",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.5,0.5,822652.03,1053953.71,./0.png
"162","330",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.5,0.5,822311.06,1054332.98,./0.png
"163","331",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1040,PVC,,Derivación,0.75,0.5,0.5,822242.98,1054646.46,./0.png
"164","332",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1037,PVC,,Derivación,1.5,1.5,0.5,822263.5,1054835.14,./0.png
"165","333",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1037,PVC,,Derivación,1.5,1.5,0.5,822268.31,1054820.92,./0.png
"166","334",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,1.5,1.5,0.5,822288.83,1054760.8,./0.png
"167","335",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1040,PVC,,Derivación,1.5,1.5,0.75,822292.3,1054749.13,./0.png
"168","336",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.75,822318.45,1054671.02,./0.png
"169","337",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.75,822343.22,1054596.87,./0.png
"170","338",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1.5,1.5,0.75,822368.76,1054524.91,./0.png
"171","339",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1.5,1.5,0.5,822369.79,1054521.97,./0.png
"172","340",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,1.5,1.5,0.75,822397,1054444.97,./0.png
"173","341",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,1.5,1.5,0.75,822423.86,1054368.86,./0.png
"174","342",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.5,822425.58,1054364.04,./0.png
"175","343",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.5,822461.19,1054260.85,./0.png
"176","344",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1.5,1.5,0.5,822496.65,1054156.16,./0.png
"177","345",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,1.5,1.5,0.5,822530.91,1054059.03,./0.png
"178","346",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.5,822556.48,1053981.74,./0.png
"179","347",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1.5,1.5,0.5,822578.69,1053916.44,./0.png
"180","348",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,1.5,1.5,0.5,822596.47,1053862.96,./0.png
"181","349",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,0.75,0.5,0.5,821961.62,1053870.75,./0.png
"182","350",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.75,0.75,821953.08,1053908.68,./0.png
"183","351",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.75,821966.78,1053925.3,./0.png
"184","376",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,0.75,0.75,0.5,823121.91,1053800.53,./0.png
"185","377",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,0.75,0.5,0.5,823127.2,1053815.86,./0.png
"186","378",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,999,PVC,,Derivación,1,1,0.5,823596.88,1053743.2,./0.png
"187","379",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,976,PVC,,Derivación,0.75,0.75,0.5,823716.76,1053802.01,./0.png
"188","380",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1,1,0.75,822395.15,1054112.57,./0.png
"189","381",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1,1,0.75,822411.72,1054058.35,./0.png
"190","382",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,1,0.75,0.75,822426.02,1054022.94,./0.png
"191","383",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.5,0.5,822421.56,1054021.7,./0.png
"192","384",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.5,0.5,822434.75,1054025.63,./0.png
"193","385",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,0.75,0.5,0.5,822383.79,1054048.64,./0.png
"194","386",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1037,PVC,,Derivación,0.75,0.5,0.5,822338.7,1054094.43,./0.png
"195","387",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.5,0.5,0.5,822465.15,1054030.03,./0.png
"196","388",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1035,PVC,,Derivación,0.75,0.5,0.5,822460,1053932.47,./0.png
"197","409",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1036,PVC,,Derivación,0.75,0.75,0.5,822006.58,1054811.74,./0.png
"198","410",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1029,PVC,,Derivación,1,1,0.5,821955.74,1054735.97,./0.png
"199","411",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1019,PVC,,Derivación,1,1,0.5,821893.08,1054669.5,./0.png
"200","412",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1018,PVC,,Derivación,1,1,0.5,821848.83,1054648.41,./0.png
"201","413",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1018,PVC,,Derivación,1,1,0.5,821847.38,1054650.13,./0.png
"202","414",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1020,PVC,,Derivación,1,1,0.5,821866.57,1054803.56,./0.png
"203","415",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,1,1,0.5,821904.54,1054844.5,./0.png
"204","416",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,1,1,0.5,821890.17,1054865.51,./0.png
"205","417",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,1,1,0.5,821890.27,1054883.21,./0.png
"206","418",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,1,1,0.5,821887.91,1054903.56,./0.png
"207","419",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,1,1,0.5,821879.03,1054903.39,./0.png
"208","420",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,1,1,0.5,821864.85,1054903.18,./0.png
"209","421",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1028,PVC,,Derivación,1,1,0.5,821853.48,1054903.01,./0.png
"210","422",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1028,PVC,,Derivación,0.5,0.5,0.5,821853.35,1054898.04,./0.png
"211","423",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,0.5,0.5,0.5,821850.91,1054597.6,./0.png
"212","424",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1030,PVC,,Derivación,0.5,0.5,0.5,821854.33,1054597.96,./0.png
"213","425",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1014,PVC,,Derivación,0.5,0.5,0.75,821780.52,1054836.19,./0.png
"214","426",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,0.75,0.5,0.5,821881.7,1054485.56,./0.png
"215","427",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821865.46,1054443.22,./0.png
"216","428",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1047,PVC,,Derivación,0.75,0.75,0.5,821806.13,1054405.4,./0.png
"217","431",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,0.5,0.5,0.5,821706.23,1054555.58,./0.png
"218","432",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,0.5,0.5,0.5,821668.5,1054715.45,./0.png
"219","433",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,0.5,0.5,0.5,821721.8,1054730.06,./0.png
"220","438",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,0.75,0.75,0.5,821084.31,1053266.93,./0.png
"221","439",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,0.75,0.5,0.5,820990.6,1053236.25,./0.png
"222","442",TEE,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1050,PVC,,Derivación,0.5,0.5,0.5,821049.21,1053325.97,./0.png
